VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchasRatio,UnsoldInventoryValue
3252,E & J GALLO WINERY         ,2164,New Amsterdam Gin,12.14,16.99,1750,26071,316501.94,24009.0,423416.91,204818.02,44114.7,61966.91,106914.96999999997,25.25051963559981,0.9209082889033793,1.3378019420670848,25032.68
2000,SOUTHERN WINE & SPIRITS NE ,27854,F Coppola Black Label Claret,10.2,14.99,750,30869,314863.8,30203.0,434239.17,126523.9,3382.4700000000003,19016.59,119375.37,27.49069596830705,0.9784249570766789,1.3791333586141055,6793.2
8112,MOET HENNESSY USA INC      ,3682,Belvedere Vodka,16.66,22.99,750,18848,314007.68,17185.0,398219.14999999997,193974.62,13534.54,48347.26,84211.46999999997,21.147016661554318,0.9117678268251274,1.268182835528099,27705.58
9552,M S WALKER INC             ,7878,Allens Coffee Brandy,9.99,15.99,1750,31200,311688.0,30233.0,456527.67,114434.83,55553.0,55551.82,144839.66999999998,31.726372686238268,0.9690064102564102,1.4646944059444058,9660.33
2561,EDRINGTON AMERICAS         ,1634,The Famous Grouse,20.73,29.99,1750,15031,311592.63,14188.0,433026.12,219285.32,26071.65,9654.5,121433.48999999999,28.04299426556532,0.9439159071252744,1.3897187491244578,17475.39
12546,JIM BEAM BRANDS COMPANY    ,3444,Hornitos Plata Tequila,29.13,39.99,1750,10636,309826.68,10105.0,366696.95,236391.28,18570.49,123880.97,56870.27000000002,15.508792751071427,0.9500752162467093,1.183555108940263,15468.029999999999
17035,PERNOD RICARD USA          ,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750,7445,309637.55,7144.0,396923.56,243049.38,5629.5,123780.22,87286.01000000001,21.990634670312843,0.9595701813297515,1.2818973667760905,12518.59
1392,CONSTELLATION BRANDS INC   ,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750,30842,308111.58,30029.0,459507.71,123279.33,3365.12,79528.99,151396.13,32.94746240492896,0.973639841774204,1.4913678674459427,8121.87
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500,51294,306225.18,49403.0,479278.58999999997,115147.29999999999,11096.16,144929.24,173053.40999999997,36.107060405097585,0.9631340897570866,1.5651181591272147,11289.27
3960,DIAGEO NORTH AMERICA INC   ,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750,21076,303283.64,20640.0,428516.6,220006.59,37925.78,257032.07,125232.95999999996,29.2247628213236,0.9793129626115012,1.4129235589496352,6274.04
